CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Full_Name,UserName,Domain,Birth_Year,Current_Age,Parent,customer_priority
11000,Mr.,Jon,Yang,1966-04-08,M,M,jon24@adventure-works.com,90000.0,2,Bachelors,Professional,Y,Mr. Jon Yang,jon24,Adventure Works,1966,57.0,Yes,Standard
11001,Mr.,Eugene,Huang,1965-05-14,S,M,eugene10@adventure-works.com,60000.0,3,Bachelors,Professional,N,Mr. Eugene Huang,eugene10,Adventure Works,1965,57.0,Yes,Standard
11002,Mr.,Ruben,Torres,1965-08-12,M,M,ruben35@adventure-works.com,60000.0,3,Bachelors,Professional,Y,Mr. Ruben Torres,ruben35,Adventure Works,1965,57.0,Yes,Standard
11003,Ms.,Christy,Zhu,1968-02-15,S,F,christy12@adventure-works.com,70000.0,0,Bachelors,Professional,N,Ms. Christy Zhu,christy12,Adventure Works,1968,55.0,No,Standard
11004,Mrs.,Elizabeth,Johnson,1968-08-08,S,F,elizabeth5@adventure-works.com,80000.0,5,Bachelors,Professional,Y,Mrs. Elizabeth Johnson,elizabeth5,Adventure Works,1968,54.0,Yes,Standard
11005,Mr.,Julio,Ruiz,1965-08-05,S,M,julio1@adventure-works.com,70000.0,0,Bachelors,Professional,Y,Mr. Julio Ruiz,julio1,Adventure Works,1965,57.0,No,Standard
11007,Mr.,Marco,Mehta,1964-05-09,M,M,marco14@adventure-works.com,60000.0,3,Bachelors,Professional,Y,Mr. Marco Mehta,marco14,Adventure Works,1964,59.0,Yes,Standard
11008,Mrs.,Robin,Verhoff,1964-07-07,S,F,rob4@adventure-works.com,60000.0,4,Bachelors,Professional,Y,Mrs. Robin Verhoff,rob4,Adventure Works,1964,58.0,Yes,Standard
11009,Mr.,Shannon,Carlson,1964-04-01,S,M,shannon38@adventure-works.com,70000.0,0,Bachelors,Professional,N,Mr. Shannon Carlson,shannon38,Adventure Works,1964,59.0,No,Standard
11010,Ms.,Jacquelyn,Suarez,1964-02-06,S,F,jacquelyn20@adventure-works.com,70000.0,0,Bachelors,Professional,N,Ms. Jacquelyn Suarez,jacquelyn20,Adventure Works,1964,59.0,No,Standard
11011,Mr.,Curtis,Lu,1963-11-04,M,M,curtis9@adventure-works.com,60000.0,4,Bachelors,Professional,Y,Mr. Curtis Lu,curtis9,Adventure Works,1963,59.0,Yes,Standard
11012,Mrs.,Lauren,Walker,1968-01-18,M,F,lauren41@adventure-works.com,100000.0,2,Bachelors,Management,Y,Mrs. Lauren Walker,lauren41,Adventure Works,1968,55.0,Yes,Standard
11013,Mr.,Ian,Jenkins,1968-08-06,M,M,ian47@adventure-works.com,100000.0,2,Bachelors,Management,Y,Mr. Ian Jenkins,ian47,Adventure Works,1968,54.0,Yes,Standard
11014,Mrs.,Sydney,Bennett,1968-05-09,S,F,sydney23@adventure-works.com,100000.0,3,Bachelors,Management,N,Mrs. Sydney Bennett,sydney23,Adventure Works,1968,55.0,Yes,Standard
11015,Ms.,Chloe,Young,1979-02-27,S,F,chloe23@adventure-works.com,30000.0,0,Partial College,Skilled Manual,N,Ms. Chloe Young,chloe23,Adventure Works,1979,44.0,No,Standard
11016,Mr.,Wyatt,Hill,1979-04-28,M,M,wyatt32@adventure-works.com,30000.0,0,Partial College,Skilled Manual,Y,Mr. Wyatt Hill,wyatt32,Adventure Works,1979,44.0,No,Standard
11017,Mrs.,Shannon,Wang,1944-06-26,S,F,shannon1@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,Mrs. Shannon Wang,shannon1,Adventure Works,1944,78.0,Yes,Standard
11018,Mr.,Clarence,Rai,1944-10-09,S,M,clarence32@adventure-works.com,30000.0,2,Partial College,Clerical,Y,Mr. Clarence Rai,clarence32,Adventure Works,1944,78.0,Yes,Standard
11019,Mr.,Luke,Lal,1978-03-07,S,M,luke18@adventure-works.com,40000.0,0,High School,Skilled Manual,N,Mr. Luke Lal,luke18,Adventure Works,1978,45.0,No,Standard
11020,Mr.,Jordan,King,1978-09-20,S,M,jordan73@adventure-works.com,40000.0,0,High School,Skilled Manual,N,Mr. Jordan King,jordan73,Adventure Works,1978,44.0,No,Standard
11021,Ms.,Destiny,Wilson,1978-09-03,S,F,destiny7@adventure-works.com,40000.0,0,Partial College,Skilled Manual,N,Ms. Destiny Wilson,destiny7,Adventure Works,1978,44.0,No,Standard
11022,Mr.,Ethan,Zhang,1978-10-12,M,M,ethan20@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Y,Mr. Ethan Zhang,ethan20,Adventure Works,1978,44.0,No,Standard
11023,Mr.,Seth,Edwards,1978-10-11,M,M,seth46@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Y,Mr. Seth Edwards,seth46,Adventure Works,1978,44.0,No,Standard
11024,Mr.,Russell,Xie,1978-09-17,M,M,russell7@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Y,Mr. Russell Xie,russell7,Adventure Works,1978,44.0,No,Standard
11025,,Alejandro,Beck,1945-12-23,M,,alejandro45@adventure-works.com,10000.0,2,Partial High School,Clerical,Y,,alejandro45,Adventure Works,1945,77.0,Yes,Standard
11026,Mr.,Harold,Sai,1946-04-03,S,M,harold3@adventure-works.com,30000.0,2,Partial College,Clerical,N,Mr. Harold Sai,harold3,Adventure Works,1946,77.0,Yes,Standard
