CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,UserName,Domain,Birth_Year,Current_Age,Parent
11000,Mr.,Jon,Yang,1966-04-08,M,M,jon24@adventure-works.com,90000.0,2,Bachelors,Professional,Y,jon24,adventure-works,1966,57.0,Yes
11001,Mr.,Eugene,Huang,1965-05-14,S,M,eugene10@adventure-works.com,60000.0,3,Bachelors,Professional,N,eugene10,adventure-works,1965,57.0,Yes
11002,Mr.,Ruben,Torres,1965-08-12,M,M,ruben35@adventure-works.com,60000.0,3,Bachelors,Professional,Y,ruben35,adventure-works,1965,57.0,Yes
11003,Ms.,Christy,Zhu,1968-02-15,S,F,christy12@adventure-works.com,70000.0,0,Bachelors,Professional,N,christy12,adventure-works,1968,55.0,No
11004,Mrs.,Elizabeth,Johnson,1968-08-08,S,F,elizabeth5@adventure-works.com,80000.0,5,Bachelors,Professional,Y,elizabeth5,adventure-works,1968,54.0,Yes
11005,Mr.,Julio,Ruiz,1965-08-05,S,M,julio1@adventure-works.com,70000.0,0,Bachelors,Professional,Y,julio1,adventure-works,1965,57.0,No
11007,Mr.,Marco,Mehta,1964-05-09,M,M,marco14@adventure-works.com,60000.0,3,Bachelors,Professional,Y,marco14,adventure-works,1964,58.0,Yes
11008,Mrs.,Robin,Verhoff,1964-07-07,S,F,rob4@adventure-works.com,60000.0,4,Bachelors,Professional,Y,rob4,adventure-works,1964,58.0,Yes
11009,Mr.,Shannon,Carlson,1964-04-01,S,M,shannon38@adventure-works.com,70000.0,0,Bachelors,Professional,N,shannon38,adventure-works,1964,59.0,No
11010,Ms.,Jacquelyn,Suarez,1964-02-06,S,F,jacquelyn20@adventure-works.com,70000.0,0,Bachelors,Professional,N,jacquelyn20,adventure-works,1964,59.0,No
11011,Mr.,Curtis,Lu,1963-11-04,M,M,curtis9@adventure-works.com,60000.0,4,Bachelors,Professional,Y,curtis9,adventure-works,1963,59.0,Yes
11012,Mrs.,Lauren,Walker,1968-01-18,M,F,lauren41@adventure-works.com,100000.0,2,Bachelors,Management,Y,lauren41,adventure-works,1968,55.0,Yes
11013,Mr.,Ian,Jenkins,1968-08-06,M,M,ian47@adventure-works.com,100000.0,2,Bachelors,Management,Y,ian47,adventure-works,1968,54.0,Yes
11014,Mrs.,Sydney,Bennett,1968-05-09,S,F,sydney23@adventure-works.com,100000.0,3,Bachelors,Management,N,sydney23,adventure-works,1968,54.0,Yes
11015,Ms.,Chloe,Young,1979-02-27,S,F,chloe23@adventure-works.com,30000.0,0,Partial College,Skilled Manual,N,chloe23,adventure-works,1979,44.0,No
11016,Mr.,Wyatt,Hill,1979-04-28,M,M,wyatt32@adventure-works.com,30000.0,0,Partial College,Skilled Manual,Y,wyatt32,adventure-works,1979,43.0,No
11017,Mrs.,Shannon,Wang,1944-06-26,S,F,shannon1@adventure-works.com,20000.0,4,High School,Skilled Manual,Y,shannon1,adventure-works,1944,78.0,Yes
11018,Mr.,Clarence,Rai,1944-10-09,S,M,clarence32@adventure-works.com,30000.0,2,Partial College,Clerical,Y,clarence32,adventure-works,1944,78.0,Yes
